IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24384; ;0000089;000083; ;0306892;2016; ;1GD-4104839; ; ; ;TOYOTA HILUX 4X4 D/C SRX 2.8 TDI 6 A/T; ;NULL; ;AA221VW; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2020-06-19 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24385; ;0000083;000084; ;034537D;2021; ;CNF 120884; ; ; ;VOLKSWAGEN AMAROK DC TDI 140 CV M 4X2 EU5; ;NULL; ;AE579FX; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2021-02-03 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24386; ;0000121;000064; ;02817CC;2017; ;310A20112998842; ; ; ;FIAT PALIO FIRE 1.4; ;NULL; ;AB820DV; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2017-09-22 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24387; ;0000107;000044; ;0306850;2013; ;2KD-A098544; ; ; ;TOYOTA HILUX 4X2 CABINA DOBLE DX PACK 2.5 TDI; ;NULL; ;MQX490; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2013-06-12 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24388; ;0000130;000079; ;033372V;2018; ;K7MA812UE34798; ; ; ;RENAULT NUEVO LOGAN AUTHENTIQUE 1.6; ;NULL; ;AD060FI; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2018-08-10 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24389; ;0000078;000077; ;0545612;2019; ;ZS167FML38J100516; ; ; ;CORVEN TRIAX 200; ;NULL; ;A104XAP; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2019-06-18 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24390; ;0000049;000035; ;03337ZF;2016; ;K4MJ730Q165061; ; ; ;RENAULT KANGOO PH3 CONFORT 1.6 5ASIENTOS 2P; ;NULL; ;PMS980; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2016-01-29 00:00:00.000; ;0,00;0,00;2016-11-11 00:00:00.000
24391; ;0000123;000068; ;02817AY;2018; ;327A0553112531; ; ; ;FIAT PALIO (326) ATTRACTIVE 5P 1.4 8V; ;NULL; ;AC317AI; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2018-02-01 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24392; ;0000118;000058; ;04119PC;2004; ;B61614831; ; ; ; ; ;NULL; ;EHA273; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2004-01-14 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24393; ;0000094;000022; ;04704597;2005; ;CDJC58661409; ; ; ;FORD ECOSPORT 1.6 L 4X2 XL PLUS; ;NULL; ;ERS644; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2005-05-05 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
